School,Conference,Wins,Losses,W-L%,Team Points per Game,Team Points per Game Allowed,Team Rebounds per Game,Strength of Schedule,Team Field Goal %,Team 3-Point %,Team Free Throw %,Offensive Rating,Scoring Leader,Points per Game,Rebounds Leader,Rebounds per Game,Assists Leader,Assists per Game
Tennessee,SEC,16,13,0.552,66.7,63.2,34.9,07.79,0.432,0.306,0.745,100.3,Jordan Bowden,13.7,John Fulkerson,05.9,Josiah-Jordan James,2.9
Texas A&M-Corpus Christi,Southland,12,17,0.414,65.2,68.3,34.0,-06.21,0.442,0.369,0.701,095.7,Myles Smith,13.1,Jashawn Talton-Thomas,05.8,Myles Smith,3.1
Texas A&M,SEC,14,14,0.500,62.1,64.7,33.8,06.40,0.398,0.287,0.682,094.6,Josh Nebo,12.0,Josh Nebo,06.3,Savion Flagg,2.5
Texas-Arlington,Sun_Belt,13,17,0.433,70.6,68.7,37.4,02.71,0.413,0.308,0.754,101.0,David Azore,14.2,Jabari Narcis,06.8,David Azore,3.7
Texas Christian,Big_12,16,13,0.552,65.6,64.6,35.4,09.47,0.421,0.342,0.635,098.5,Desmond Bane,16.1,Kevin Samuel,08.6,Desmond Bane,3.8
Texas-El Paso,CUSA,15,14,0.517,67.0,65.6,34.3,-00.04,0.425,0.291,0.755,096.7,Bryson Williams,18.2,Bryson Williams,07.0,Jordan Lathon,2.9
Texas-Rio Grande Valley,WAC,13,16,0.448,72.8,71.3,33.0,-03.71,0.438,0.349,0.712,102.1,Lesley Varner II,15.3,Lesley Varner II,06.2,Javon Levi,7.7
Texas-San Antonio,CUSA,13,16,0.448,77.8,76.7,39.4,00.49,0.423,0.346,0.760,103.4,Jhivvan Jackson,27.3,Byron Frohnen,07.1,Keaton Wallace,3.1
Texas Southern,SWAC,14,14,0.500,72.6,75.6,38.5,-05.01,0.413,0.302,0.699,096.3,Tyrik Armstrong,14.3,Yahuza Rasas,08.1,Tyrik Armstrong,4.1
Texas State,Sun_Belt,20,10,0.667,73.3,64.4,34.7,-00.18,0.454,0.328,0.757,107.6,Nijal Pearson,19.2,Isiah Small,06.5,Marlin Davis,3.9
Texas Tech,Big_12,18,11,0.621,72.4,63.2,33.2,07.53,0.453,0.359,0.756,104.3,Jahmi'us Ramsey,15.4,Chris Clarke,06.6,Chris Clarke,4.7
Texas,Big_12,18,11,0.621,64.8,63.1,31.9,09.48,0.434,0.343,0.677,097.9,Matt Coleman,12.3,Jericho Sims,08.2,Matt Coleman,3.5
Toledo,MAC,15,14,0.517,75.2,70.4,38.0,-01.37,0.442,0.369,0.741,107.4,Marreon Jackson,19.7,Willie Jackson,11.8,Marreon Jackson,5.6
Towson,CAA,19,12,0.613,70.8,66.2,37.3,-01.54,0.433,0.346,0.772,106.7,Brian Fobbs,16.2,Nakye Sanders,06.5,Jakigh Dottin,2.2
Troy,Sun_Belt,09,21,0.300,68.9,73.3,36.8,-01.54,0.398,0.317,0.675,096.3,Ty Gordon,12.4,Nick Stampley,04.8,Ty Gordon,3.3
Tulane,AAC,12,17,0.414,68.1,70.6,31.1,03.10,0.408,0.335,0.709,097.3,TeShaun Hightower,16.0,Christion Thompson,06.4,Christion Thompson,2.9
Tulsa,AAC,20,09,0.690,68.4,63.4,34.7,03.11,0.445,0.321,0.709,100.6,Martins Igbanu,13.2,Brandon Rachal,05.7,Elijah Joiner,3.0
UCLA,Pac-12,19,11,0.633,70.0,67.5,36.8,08.16,0.437,0.323,0.712,104.2,Chris Smith,13.1,Jalen Hill,06.9,Tyger Campbell,5.0
Utah State,MWC,23,08,0.742,76.7,63.6,40.9,03.87,0.456,0.332,0.773,109.8,Sam Merrill,18.8,Justin Bean,10.3,Sam Merrill,4.0
Utah Valley,WAC,11,18,0.379,70.8,71.4,35.4,-04.10,0.441,0.303,0.713,098.1,Brandon Averette,13.0,Emmanuel Olojakpoke,05.0,TJ Washington,4.5
Utah,Pac-12,15,14,0.517,70.9,70.2,35.8,07.69,0.450,0.328,0.729,103.1,Timmy Allen,17.7,Timmy Allen,07.3,Rylan Jones,4.4
Valparaiso,MVC,16,15,0.516,72.4,71.1,34.1,01.18,0.441,0.343,0.711,102.4,Javon Freeman-Liberty,19.3,Javon Freeman-Liberty,06.0,Daniel Sackey,3.6
Vanderbilt,SEC,09,20,0.310,70.8,74.5,32.0,05.98,0.425,0.331,0.689,100.7,Saben Lee,17.5,Dylan Disu,05.4,Saben Lee,4.2
Vermont,AEC,23,07,0.767,71.1,59.2,36.8,-04.23,0.446,0.327,0.716,107.1,Anthony Lamb,16.6,Anthony Lamb,07.4,Stef Smith,2.7
Villanova,Big_East,22,07,0.759,73.1,65.9,36.2,09.79,0.438,0.356,0.766,107.5,Saddiq Bey,15.9,Jeremiah Robinson-Earl,09.4,Collin Gillespie,4.5
Virginia Commonwealth,A-10,18,11,0.621,70.7,64.3,34.0,03.87,0.429,0.345,0.702,101.6,Marcus Santos-Silva,12.4,Marcus Santos-Silva,09.1,Marcus Evans,2.9
VMI,Southern,08,23,0.258,71.8,70.9,35.4,-02.56,0.429,0.351,0.704,103.9,Travis Evee,12.6,Garrett Gilkeson,05.7,Garrett Gilkeson,3.3
Virginia Tech,ACC,15,14,0.517,69.4,66.5,34.3,05.71,0.422,0.353,0.711,102.2,Landers Nolley II,16.2,Tyrece Radford,06.3,Wabissa Bede,5.6
Virginia,ACC,21,07,0.750,57.4,52.6,34.3,07.25,0.415,0.303,0.714,094.0,Mamadi Diakite,13.6,Braxton Key,07.4,Kihei Clark,6.0
Wagner,NEC,08,21,0.276,68.3,76.2,33.9,-05.48,0.413,0.317,0.726,097.6,Curtis Cobb,16.2,Alex Morales,05.8,Alex Morales,3.1
Wake Forest,ACC,13,15,0.464,73.5,73.7,38.3,08.13,0.428,0.345,0.748,101.9,Brandon Childress,15.1,Olivier Sarr,08.8,Brandon Childress,4.6
Washington State,Pac-12,15,14,0.517,69.6,68.8,36.0,04.07,0.398,0.310,0.734,097.8,CJ Elleby,18.7,CJ Elleby,07.7,Isaac Bonton,4.0
Washington,Pac-12,13,16,0.448,70.0,65.6,35.0,07.52,0.441,0.327,0.706,099.4,Isaiah Stewart,16.7,Isaiah Stewart,08.6,Jaden McDaniels,2.1
Weber State,Big_Sky,11,17,0.393,70.0,71.4,31.9,00.21,0.456,0.328,0.716,100.3,Jerrick Harding,22.2,Michal Kozak,05.2,Jerrick Harding,2.2
West Virginia,Big_12,19,10,0.655,69.9,62.1,40.5,10.44,0.420,0.283,0.634,100.1,Oscar Tshiebwe,11.1,Oscar Tshiebwe,09.2,Gabe Osabuohien,1.9
Western Carolina,Southern,18,11,0.621,79.3,74.6,38.3,-01.75,0.467,0.374,0.712,108.2,Mason Faulkner,17.3,Carlos Dotson,10.0,Mason Faulkner,6.0
Western Illinois,Summit,05,21,0.192,74.4,81.8,33.9,-03.14,0.426,0.369,0.783,100.8,Kobe Webster,17.1,Ben Pyle,05.3,Kobe Webster,3.6
Western Kentucky,CUSA,19,10,0.655,76.1,71.6,33.6,01.08,0.454,0.337,0.785,106.9,Taveion Hollingsworth,16.4,Jared Savage,07.2,Taveion Hollingsworth,2.7
Western Michigan,MAC,12,17,0.414,69.3,72.1,34.4,-00.03,0.428,0.340,0.716,099.4,Michael Flowers,16.5,Brandon Johnson,07.9,Michael Flowers,3.2
Wichita State,AAC,22,07,0.759,72.0,63.9,39.2,05.37,0.407,0.328,0.697,101.0,Jaime Echenique,11.2,Jaime Echenique,07.2,Jamarius Burton,3.4
William & Mary,CAA,21,10,0.677,71.8,69.0,36.0,-02.89,0.466,0.346,0.744,105.2,Nathan Knight,20.6,Nathan Knight,10.5,Bryce Barnes,3.5
Winthrop,Big_South,21,10,0.677,80.8,71.8,40.6,-06.06,0.459,0.343,0.635,110.2,Hunter Hale,13.3,Josh Ferguson,06.4,Chandler Vaudrin,5.9
Wisconsin,Big_Ten,19,10,0.655,67.6,62.9,33.7,11.05,0.427,0.351,0.766,104.3,Nate Reuvers,13.0,Nate Reuvers,04.4,D'Mitrik Trice,4.2
Wofford,Southern,16,15,0.516,71.7,68.2,30.9,-01.68,0.458,0.346,0.716,105.8,Nathan Hoover,15.3,Chevez Goodwin,06.2,Storm Murphy,3.3
Wright State,Horizon,25,06,0.806,81.4,70.7,40.2,-06.42,0.462,0.366,0.680,110.0,Loudon Love,16.3,Loudon Love,09.7,Jaylon Hall,2.9
Wyoming,MWC,07,23,0.233,61.1,69.1,29.2,04.40,0.408,0.307,0.723,090.0,Hunter Maldonado,16.4,Hunter Maldonado,05.6,Hunter Maldonado,4.0
Xavier,Big_East,19,10,0.655,70.7,66.9,39.4,09.21,0.433,0.316,0.656,099.7,Naji Marshall,16.5,Tyrique Jones,11.2,Naji Marshall,3.9
Yale,Ivy,22,06,0.786,76.7,64.6,39.0,-01.69,0.471,0.372,0.715,108.4,Paul Atkinson,17.5,Jordan Bruner,09.1,Eric Monroe,4.5
Youngstown State,Horizon,17,14,0.548,73.5,71.8,39.3,-04.83,0.424,0.312,0.689,105.6,Darius Quisenberry,16.9,Naz Bohannon,08.8,Darius Quisenberry,4.2
